{ Units, Wavelength Units } SI Microns
{ Thickness } 5.765
{ Conductivity } 0.9687693
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.89 0.84
{ }
{ Ef_Source: Text File }
{ Eb_Source: Material }
{ IGDB_Checksum: 0 }
{ Product Name:  }
{ Manufacturer: User }
{ NFRC ID: 30000 }
{ Type: Applied Film }
{ Material: N/A }
{ Coating Name: PR 90 EXT }
{ Coated Side: Front }
{ Substrate Filename: CLEAR_6.DAT }
{ Appearance:  }
{ Acceptance: # }
{ Uses:  }
{ Availability:   }
{ Structure:  }
0.955    0.0420    0.9259    0.4775
0.960    0.0487    0.9273    0.4753
0.965    0.0475    0.9254    0.4831
0.970    0.0343    0.9467    0.4909
0.975    0.0216    0.9668    0.4912
0.980    0.0185    0.9633    0.4880
0.985    0.0218    0.9642    0.4870
0.990    0.0213    0.9693    0.4877
0.995    0.0169    0.9658    0.4842
1.000    0.0193    0.9606    0.4801
1.005    0.0236    0.9641    0.4810
1.010    0.0205    0.9696    0.4821
1.015    0.0161    0.9553    0.4753
1.020    0.0248    0.9371    0.4679
1.025    0.0412    0.9349    0.4722
1.030    0.0283    0.9600    0.4775
1.035    0.0203    0.9496    0.4703
1.040    0.0277    0.8909    0.4422
1.045    0.0653    0.8353    0.4210
1.050    0.0706    0.8943    0.4469
1.055    0.0727    0.8948    0.4710
1.060    0.0071    0.9835    0.4858
1.065    0.0070    0.9872    0.4872
1.070    0.0039    0.9885    0.4876
1.075    0.0024    0.9896    0.4876
1.080    0.0016    0.9899    0.4877
1.085    0.0024    0.9885    0.4872
1.090    0.0035    0.9846    0.4853
1.095    0.0049    0.9832    0.4842
1.100    0.0068    0.9801    0.4822
1.105    0.0079    0.9705    0.4782
1.110    0.0138    0.9388    0.4638
1.115    0.0313    0.8588    0.4245
1.120    0.0823    0.7364    0.3660
1.125    0.1702    0.5830    0.2932
1.130    0.2690    0.4044    0.2107
1.135    0.3973    0.2248    0.1284
1.140    0.5324    0.1341    0.0905
1.145    0.5988    0.1388    0.0976
1.150    0.5851    0.1374    0.0969
1.155    0.5858    0.1059    0.0798
1.160    0.6137    0.0816    0.0669
1.165    0.6290    0.0933    0.0724
1.170    0.6200    0.1218    0.0863
1.175    0.5931    0.1638    0.1082
1.180    0.5706    0.1777    0.1150
1.185    0.5605    0.1678    0.1118
1.190    0.5667    0.1237    0.0897
1.195    0.6034    0.0840    0.0707
1.200    0.6304    0.0585    0.0568
1.205    0.6518    0.0653    0.0602
1.210    0.6444    0.0923    0.0738
